date,btc
12/25/2014,318.5
12/26/2014,327.2
12/27/2014,315.89
12/28/2014,316.94
12/29/2014,312.64
12/30/2014,310.8
12/31/2014,322.3
1/1/2015,314.96
1/2/2015,315.81
1/3/2015,279.3
1/4/2015,264.19
1/5/2015,274.84
1/6/2015,288.43
1/7/2015,297.99
1/8/2015,283.21
1/9/2015,290.51
1/10/2015,276.03
1/11/2015,267.27
1/12/2015,268.75
1/13/2015,228.07
1/14/2015,182
1/15/2015,209.81
1/16/2015,208.5
1/17/2015,201.24
1/18/2015,211.03
1/19/2015,216.2
1/20/2015,212.11
1/21/2015,228.08
1/22/2015,234.7
1/23/2015,233.12
1/24/2015,248.66
1/25/2015,254.73
1/26/2015,276.01
1/27/2015,265.09
1/28/2015,234.5
1/29/2015,233.01
1/30/2015,226.45
1/31/2015,215.8
2/1/2015,226.92
2/2/2015,238.99
2/3/2015,227.96
2/4/2015,227.8
2/5/2015,216.47
2/6/2015,222.65
2/7/2015,228.8
2/8/2015,223.85
2/9/2015,220.48
2/10/2015,220.87
2/11/2015,219.8
2/12/2015,222.39
2/13/2015,236.13
2/14/2015,257
2/15/2015,235.88
2/16/2015,233.5
2/17/2015,244
2/18/2015,236.26
2/19/2015,240
2/20/2015,244.5
2/21/2015,245.54
2/22/2015,236.5
2/23/2015,239.4
2/24/2015,239.73
2/25/2015,237.99
2/26/2015,236.93
2/27/2015,255.05
2/28/2015,255.7
3/1/2015,262.4
3/2/2015,277.41
3/3/2015,283.75
3/4/2015,273.33
3/5/2015,277.69
3/6/2015,273.36
3/7/2015,276.97
3/8/2015,275.59
3/9/2015,291
3/10/2015,292.62
3/11/2015,296.6
3/12/2015,295.55
3/13/2015,283.18
3/14/2015,282.6
3/15/2015,286.9
3/16/2015,291.22
3/17/2015,285.25
3/18/2015,257.21
3/19/2015,261.98
3/20/2015,262.19
3/21/2015,260.47
3/22/2015,268.82
3/23/2015,267.23
3/24/2015,246
3/25/2015,246.29
3/26/2015,249.33
3/27/2015,246.5
3/28/2015,252.95
3/29/2015,242.74
3/30/2015,247.93
3/31/2015,244.51
4/1/2015,246.93
4/2/2015,253.23
4/3/2015,254.24
4/4/2015,253.6
4/5/2015,260.5
4/6/2015,255.73
4/7/2015,253.7
4/8/2015,244.92
4/9/2015,243.58
4/10/2015,236.12
4/11/2015,236.86
4/12/2015,236.38
4/13/2015,224.9
4/14/2015,220.16
4/15/2015,223.98
4/16/2015,228.14
4/17/2015,222.4
4/18/2015,223.08
4/19/2015,222.16
4/20/2015,224.21
4/21/2015,236.96
4/22/2015,234.14
4/23/2015,236.01
4/24/2015,231.38
4/25/2015,226.01
4/26/2015,219.7
4/27/2015,226.91
4/28/2015,225.3
4/29/2015,225.23
4/30/2015,236.11
5/1/2015,231.78
5/2/2015,234.81
5/3/2015,240.57
5/4/2015,238.54
5/5/2015,235.87
5/6/2015,229.27
5/7/2015,237.3
5/8/2015,244.5
5/9/2015,242.54
5/10/2015,240.73
5/11/2015,242.46
5/12/2015,241.92
5/13/2015,235.7
5/14/2015,236.7
5/15/2015,237.3
5/16/2015,235.7
5/17/2015,236.15
5/18/2015,232.82
5/19/2015,231.7
5/20/2015,234.24
5/21/2015,235.27
5/22/2015,240.97
5/23/2015,238.81
5/24/2015,240.96
5/25/2015,237.1
5/26/2015,237.36
5/27/2015,236.48
5/28/2015,236.86
5/29/2015,236.52
5/30/2015,232.54
5/31/2015,228.7
6/1/2015,222
6/2/2015,224.68
6/3/2015,225.14
6/4/2015,223.24
6/5/2015,224.51
6/6/2015,225.66
6/7/2015,223.26
6/8/2015,228.76
6/9/2015,229.06
6/10/2015,228.6
6/11/2015,230
6/12/2015,229.55
6/13/2015,232.87
6/14/2015,233.54
6/15/2015,236.98
6/16/2015,252.17
6/17/2015,248.95
6/18/2015,249.51
6/19/2015,244.56
6/20/2015,245.38
6/21/2015,244.25
6/22/2015,246.67
6/23/2015,244.25
6/24/2015,239.8
6/25/2015,242.05
6/26/2015,243.29
6/27/2015,251.61
6/28/2015,248.71
6/29/2015,256.69
6/30/2015,263.07
7/1/2015,258.1
7/2/2015,254.52
7/3/2015,256.09
7/4/2015,260.58
7/5/2015,271.96
7/6/2015,269.23
7/7/2015,265.72
7/8/2015,270.52
7/9/2015,269.23
7/10/2015,285.36
7/11/2015,293.18
7/12/2015,311.15
7/13/2015,292.65
7/14/2015,286.83
7/15/2015,285.42
7/16/2015,278.94
7/17/2015,279.82
7/18/2015,277.25
